#{"t_start": 1779749986.0541875, "env_id": "None"}
r,l,t
-106.0,60,752.0753
656.0,96,753.315382
-116.0,47,753.987652
655.0,93,755.138102
646.0,90,756.344695
662.0,98,757.584726
-70.0,92,758.800528
631.0,119,760.329042
-88.0,119,761.741282
668.0,106,762.934281
-104.0,62,763.766255
651.0,89,764.850984
-84.0,70,765.792239
659.0,111,767.01724
665.0,115,768.328337
660.0,98,769.550122
-78.0,72,770.495173
650.0,104,771.825768
-84.0,75,772.712489
651.0,93,773.867073
604.0,168,775.959463
645.0,85,777.144314
-112.0,51,777.934067
667.0,101,779.07496
653.0,87,780.225105
662.0,106,781.493077
-74.0,83,782.558724
663.0,109,784.011296
660.0,110,785.334213
651.0,85,786.395986
-20.0,183,788.722209
-98.0,68,789.641671
-24.0,109,790.926175
-66.0,83,792.018552
-74.0,77,792.996531
660.0,98,794.329148
655.0,91,795.589921
661.0,103,796.831604
-88.0,73,797.87305
649.0,89,799.181935
662.0,118,800.776759
48.0,173,802.983442
-102.0,55,803.758752
662.0,98,804.892659
-84.0,69,805.871824
-112.0,55,806.701019
-82.0,78,807.641292
655.0,101,808.923641
-114.0,57,809.798277
663.0,97,811.090802
648.0,90,812.241992
666.0,98,813.521635
-114.0,58,814.363683
647.0,93,815.603152
-78.0,75,816.524218
653.0,109,817.932768
-82.0,72,818.904443
645.0,81,820.035267
-22.0,113,821.602123
-26.0,132,823.320407
-80.0,80,824.23764
660.0,104,825.467229
644.0,84,826.590119
-112.0,53,827.332518
-80.0,72,828.284653
660.0,100,829.490468
665.0,111,830.987988
664.0,120,832.354293
-78.0,74,833.386445
660.0,104,834.822966
654.0,90,835.967738
639.0,75,837.059088
659.0,97,838.318937
-110.0,51,839.077032
662.0,108,840.464736
667.0,103,841.675022
-26.0,122,843.334999
657.0,107,844.790995
663.0,113,846.073445
653.0,87,847.301025
-82.0,71,848.205499
-108.0,54,848.989478
663.0,109,850.231017
665.0,103,851.495394
-144.0,32,852.050443
655.0,93,853.325728
-108.0,50,854.052478
659.0,105,855.410695
-112.0,49,856.165304
-106.0,53,856.938442
-78.0,78,857.907919
639.0,91,859.138425
656.0,94,860.35914
-90.0,66,861.472493
667.0,85,862.566786
657.0,103,863.874249
6.0,200,866.444886
660.0,110,867.863148
667.0,109,869.386876
662.0,104,870.860118
10.0,137,872.677529
-28.0,124,874.262973
-76.0,77,875.184901
-92.0,67,876.191241
653.0,135,878.039269
660.0,114,879.547025
-80.0,79,880.645938
-92.0,66,881.627324
-104.0,57,882.463746
663.0,105,883.807747
655.0,105,885.226684
14.0,157,887.232825
667.0,105,888.648002
670.0,116,890.025084
658.0,104,891.365916
650.0,88,892.674033
-82.0,75,893.765151
-108.0,58,894.666285
664.0,102,895.893131
641.0,77,897.067073
668.0,106,898.307495
662.0,110,899.765911
-86.0,68,900.717587
-26.0,116,902.279027
-116.0,51,903.128102
666.0,102,904.311632
663.0,105,905.841104
658.0,102,907.060236
645.0,93,908.507298
-98.0,61,909.395698
-80.0,71,910.296146
-104.0,62,911.254671
657.0,97,912.690329
668.0,100,914.044999
665.0,109,915.558065
645.0,93,917.017453
664.0,106,918.489927
663.0,101,919.676867
663.0,107,920.956391
660.0,102,922.287857
644.0,82,923.521666
658.0,96,924.831438
-98.0,56,925.627479
-114.0,49,926.427436
-80.0,70,927.353621
639.0,119,929.079171
648.0,98,930.447445
-70.0,86,931.783414
663.0,105,933.150035
670.0,106,934.745609
-74.0,75,935.759737
647.0,95,937.027458
662.0,100,938.420193
650.0,80,939.542273
653.0,89,941.00727
666.0,110,942.46211
657.0,105,943.847265
-76.0,76,944.904465
-100.0,65,945.8735
647.0,95,947.202755
-108.0,58,948.122813
-104.0,64,949.068145
-90.0,66,950.041869
-80.0,82,951.269343
-88.0,72,952.256063
649.0,129,954.002998
-106.0,62,954.933616
-70.0,72,955.930912
664.0,112,957.498295
658.0,104,958.93305
-110.0,61,959.936506
663.0,115,961.529647
662.0,104,962.995794
665.0,95,964.344223
650.0,92,965.752568
654.0,92,967.065745
645.0,91,968.341145
652.0,94,969.74729
655.0,89,971.005213
668.0,110,972.407035
654.0,106,973.827093
667.0,103,975.217146
-108.0,63,976.278681
-132.0,37,976.810591
657.0,101,978.169598
-80.0,75,979.244388
-110.0,56,980.137475
670.0,112,981.586873
44.0,153,983.627948
663.0,97,985.009548
-108.0,61,985.977226
-98.0,66,986.969549
661.0,107,988.460762
667.0,107,990.126654
654.0,96,991.445102
-82.0,74,992.583175
657.0,97,994.008282
653.0,89,995.365546
-102.0,68,996.402914
-78.0,74,997.57232
-78.0,79,998.772409
-72.0,74,999.86333
650.0,100,1001.24902
-78.0,73,1002.292206
647.0,95,1003.729996
-66.0,81,1005.001459
-114.0,45,1005.779602
675.0,103,1007.368593
665.0,111,1008.899284
653.0,87,1010.226283
-34.0,129,1012.078381
658.0,106,1013.664404
657.0,111,1015.246674
657.0,97,1016.679536
667.0,111,1018.28398
665.0,113,1019.868282
667.0,111,1021.493676
-72.0,86,1022.884118
-76.0,79,1024.086461
-128.0,39,1024.798395
-84.0,76,1026.044725
666.0,102,1027.647147
-90.0,67,1028.713633
667.0,109,1030.342302
673.0,123,1032.22564
664.0,98,1033.600301
671.0,109,1035.186478
656.0,112,1036.988455
660.0,128,1038.836319
660.0,106,1040.469683
-118.0,44,1041.247256
-78.0,79,1042.429225
658.0,98,1043.840508
658.0,96,1045.310762
-88.0,74,1046.398893
-72.0,83,1047.63098
665.0,109,1049.263175
663.0,95,1050.720282
667.0,101,1052.212176
-106.0,56,1053.240789
-108.0,52,1054.094617
660.0,98,1055.525492
-22.0,114,1057.187291
4.0,156,1059.551846
-78.0,74,1060.752219
-98.0,58,1061.766557
662.0,102,1063.358055
-98.0,64,1064.430613
655.0,101,1065.959223
650.0,92,1067.371369
669.0,125,1069.114344
-80.0,77,1070.345402
-80.0,76,1071.511691
671.0,113,1073.164523
665.0,103,1074.666803
673.0,113,1076.262487
666.0,110,1077.81816
-80.0,72,1078.871498
-82.0,70,1079.975195
-74.0,75,1081.138241
-78.0,76,1082.30439
-84.0,60,1083.262181
6.0,149,1085.299587
669.0,101,1086.724468
-82.0,72,1087.924807
667.0,105,1089.527174
-106.0,68,1090.59965
668.0,114,1092.366875
669.0,107,1093.963987
-78.0,74,1095.080449
673.0,115,1096.801832
668.0,110,1098.481754
644.0,90,1099.867715
665.0,101,1101.368123
-104.0,62,1102.364025
-104.0,62,1103.421827
-116.0,50,1104.325378
-78.0,79,1105.449823
649.0,87,1106.797897
-102.0,61,1107.871282
-82.0,73,1109.114765
-70.0,84,1110.436553
663.0,115,1112.12622
-72.0,76,1113.332033
-102.0,61,1114.396727
-74.0,78,1115.618094
647.0,91,1117.087008
-76.0,77,1118.38851
672.0,122,1120.225063
-74.0,77,1121.399856
654.0,90,1122.910546
662.0,100,1124.414388
-76.0,78,1125.753577
669.0,105,1127.455756
651.0,99,1128.918634
-46.0,96,1130.5106
-94.0,61,1131.735511
662.0,106,1133.338497
-78.0,83,1134.727007
667.0,113,1136.598675
-94.0,71,1137.793937
-64.0,81,1139.242704
667.0,109,1141.131955
-42.0,108,1142.901288
-116.0,52,1143.973911
8.0,167,1146.910248
-86.0,73,1148.324123
-72.0,87,1149.923261
654.0,98,1151.706691
-106.0,66,1153.095268
-74.0,75,1154.336432
-106.0,61,1155.496204
-130.0,42,1156.311494
-106.0,54,1157.403391
-24.0,118,1159.502037
652.0,86,1161.065002
-4.0,154,1163.409938
-114.0,57,1164.544687
648.0,84,1166.065931
-114.0,50,1167.183795
-78.0,73,1168.455629
-102.0,66,1169.696628
662.0,102,1171.365286
-82.0,75,1172.682234
-54.0,96,1174.426542
641.0,71,1175.806892
-112.0,61,1176.986119
642.0,90,1178.80132
-66.0,115,1180.770931
-40.0,98,1182.588238
653.0,85,1184.118111
-82.0,91,1185.716549
651.0,97,1187.442387
662.0,100,1189.122825
637.0,103,1190.943877
-82.0,75,1192.327004
-128.0,53,1193.382868
-22.0,110,1195.015859
-52.0,101,1196.833512
645.0,95,1198.419662
-84.0,70,1199.54074
-80.0,69,1200.738973
661.0,109,1202.605439
-136.0,46,1203.571235
663.0,111,1205.278955
642.0,84,1206.734487
666.0,106,1208.482353
-82.0,77,1209.72314
660.0,104,1211.569352
-112.0,62,1212.745296
656.0,96,1214.628381
-116.0,51,1215.51086
649.0,97,1217.314799
-104.0,57,1218.430724
671.0,113,1220.336773
629.0,121,1222.475264
-58.0,89,1224.097896
-94.0,61,1225.390984
-104.0,58,1226.389526
-90.0,79,1227.697046
636.0,76,1229.2212
-102.0,58,1230.352878
-100.0,61,1231.522666
-100.0,63,1232.78141
-120.0,54,1233.875079
-106.0,64,1235.010688
-88.0,76,1236.404865
-76.0,78,1237.780864
655.0,99,1239.680158
648.0,128,1241.773808
-104.0,70,1243.067905
-104.0,57,1244.14961
652.0,86,1245.623874
-146.0,30,1246.347548
-98.0,62,1247.54212
-118.0,54,1248.506763
-86.0,76,1249.767616
-98.0,74,1251.248204
644.0,98,1252.941504
-116.0,56,1253.919041
-104.0,55,1254.872926
-102.0,58,1255.969123
-4.0,124,1258.199281
-94.0,64,1259.25654
-102.0,61,1260.377183
-66.0,85,1261.683523
664.0,122,1263.460953
647.0,85,1264.861346
662.0,110,1266.515642
652.0,94,1268.179391
643.0,153,1270.798409
